mlsno,area,soldprice,solddate,type,style,bdrm,wshrm,latitude,longitude,house_condo,maint,aptno,address
W3299617,East Credit,906500,2015-09-16,Detached,2-Storey,4,5,43.5925,-79.67774,house,,,"5055 Parkplace Circ, Mississauga"
W3301479,Churchill Meadows,308000,2015-09-16,Condo Townhouse,Stacked Townhse,1,2,43.5358505,-79.7321221,condo,180,20,"3975 Eglinton Ave, Mississauga"
W3301385,Cooksville,813000,2015-09-16,Detached,Backsplit 4,4,3,43.58299,-79.5954299,house,,,"453 Abington Ave, Mississauga"
W3302189,Rathwood,389000,2015-09-16,Condo Apt,2-Storey,3,3,43.59722,-79.63189,condo,911.95,Ph3,"200 Robert Speck Pkwy, Mississauga"
W3302280,Lisgar,465000,2015-09-16,Att/Row/Twnhouse,3-Storey,3,3,43.5847,-79.77874,house,,,"3224 Redpath Circ, Mississauga"
W3302920,Meadowvale Village,589900,2015-09-16,Semi-Detached,2-Storey,3,4,43.63741,-79.71993,house,,,"560 Garden Walk, Mississauga"
W3303774,Applewood,190000,2015-09-16,Condo Townhouse,2-Storey,3,2,43.6186288,-79.5955451,condo,687.89,360,"1395 Williamsport Dr, Mississauga"
W3304251,Dixie,605000,2015-09-16,Semi-Detached,Bungalow,3,2,43.61554,-79.57316,house,,,"1586 Coram Cres, Mississauga"
W3304918,Malton,582500,2015-09-16,Detached,Backsplit 4,3,3,43.72425,-79.64917,house,,,"3397 Brandon Gate Dr, Mississauga"
W3305042,Meadowvale,377500,2015-09-16,Condo Townhouse,2-Storey,4,3,43.59095,-79.76143,condo,496,11,"6855 Glen Erin Dr, Mississauga"
W3305911,Meadowvale,343500,2015-09-16,Condo Townhouse,2-Storey,3,2,43.59196,-79.76875,condo,330.88,45,"7430 Copenhagen Rd, Mississauga"
W3305895,Lisgar,802000,2015-09-16,Detached,2-Storey,5,5,43.5808899,-79.78501,house,,,"7326 Sandhurst Dr, Mississauga"
W3307511,Fairview,306000,2015-09-16,Condo Apt,Apartment,2,2,43.59064,-79.63248,condo,444.54,308,"1 Elm Dr, Mississauga"
W3308494,Meadowvale,400000,2015-09-16,Condo Townhouse,2-Storey,3,3,43.58849,-79.76025,condo,373.5,8,"6779 Glen Erin Dr, Mississauga"
W3307452,Cooksville,479900,2015-09-16,Condo Townhouse,3-Storey,3,3,43.5703699,-79.63115,condo,196.62,182,"601 Shoreline Dr, Mississauga"
W3309434,Churchill Meadows,565000,2015-09-16,Semi-Detached,2-Storey,3,3,43.54545,-79.74312,house,,,"5458 Longford Dr, Mississauga"
W3311843,Rathwood,815000,2015-09-16,Detached,2-Storey,4,4,43.6011,-79.62963,house,,,"291 Prince Geaorge Crt, Mississauga"
W3311876,Central Erin Mills,972000,2015-09-16,Detached,2-Storey,5,3,43.56407,-79.72148,house,,,"2654 Burnford Tr, Mississauga"
W3316747,Central Erin Mills,585000,2015-09-16,Semi-Detached,2-Storey,3,3,43.57041,-79.71531,house,,,"5446 Palmerston Cres, Mississauga"
W3142647,City Centre,427000,2015-09-15,Condo Apt,Apartment,3,2,43.5816498,-79.6481018,condo,560.24,1408,"3985 Grand Park Dr, Mississauga"
W3228350,City Centre,252500,2015-09-15,Condo Apt,Apartment,1,1,43.5879097,-79.6463165,condo,448.38,109,"330 Princess Royal Dr, Mississauga"
W3266645,City Centre,278000,2015-09-15,Condo Apt,Apartment,2,2,43.586319,-79.6413879,condo,590,1007,"325 Webb Dr, Mississauga"
W3271594,City Centre,317200,2015-09-15,Condo Apt,Apartment,2,2,43.58762,-79.6456199,condo,565,1601,"4080 Living Arts Dr, Mississauga"
W3272260,Lorne Park,1910000,2015-09-15,Vacant Land,,0,0,43.54099,-79.61713,house,,,"1029 Indian Rd, Mississauga"
W3276176,Malton,220000,2015-09-15,Condo Apt,Apartment,2,2,43.72197,-79.64218,condo,322.94,116,"7405 Goreway Dr, Mississauga"
W3286096,City Centre,265000,2015-09-15,Condo Apt,Apartment,2,2,43.58958,-79.6344,condo,695.15,Ph05,"3605 Kariya Dr, Mississauga"
W3286034,City Centre,258000,2015-09-15,Condo Apt,Apartment,1,1,43.58811,-79.64813,condo,383.65,2607,"388 Prince Of Wales Dr, Mississauga"
W3286018,City Centre,442900,2015-09-15,Condo Apt,Apartment,3,2,43.58811,-79.64813,condo,610.75,910,"388 Prince Of Wales Dr, Mississauga"
W3288377,City Centre,259000,2015-09-15,Condo Apt,Apartment,2,1,43.58472,-79.6417,condo,771.75,1407,"350 Webb Dr, Mississauga"
W3291009,City Centre,283800,2015-09-15,Condo Apt,Apartment,2,2,43.59493,-79.63569,condo,576,606,"50 Absolute Ave, Mississauga"
W3291322,Mineola,934500,2015-09-15,Detached,2-Storey,4,4,43.56337,-79.5819099,house,,,"205 Eaglewood Blvd, Mississauga"
W3293915,Churchill Meadows,562000,2015-09-15,Semi-Detached,2-Storey,3,4,43.5565799,-79.74176,house,,,"3363 Fountain Park Ave, Mississauga"
W3297675,Mississauga Valleys,217000,2015-09-15,Condo Apt,Apartment,1,1,43.59449,-79.63235,condo,474.64,Ph6,"3700 Kaneff Cres, Mississauga"
W3297081,City Centre,440000,2015-09-15,Condo Apt,Apartment,3,2,43.58701,-79.64057,condo,804,1206,"3880 Duke Of York Blvd, Mississauga"
W3299038,Meadowvale,190000,2015-09-15,Condo Apt,Apartment,1,1,43.5868102,-79.7595902,condo,411.5,603,"6720 Glen Erin Dr, Mississauga"
W3297529,City Centre,273000,2015-09-15,Condo Apt,Apartment,2,2,43.58728,-79.63932,condo,577.18,519,"250 Webb Dr, Mississauga"
W3298395,Malton,442500,2015-09-15,Semi-Detached,Backsplit 3,3,2,43.72104,-79.65527,house,,,"7661 Priory Cres, Mississauga"
W3300404,East Credit,450000,2015-09-15,Semi-Detached,2-Storey,3,3,43.60267,-79.70553,house,,,"5979 Candlebrook Crt, Mississauga"
W3302147,Central Erin Mills,275000,2015-09-15,Condo Apt,Loft,2,2,43.56092248,-79.71281111,condo,746.15,809,"2585 Erin Centre Blvd, Mississauga"
W3302682,Malton,390000,2015-09-15,Semi-Detached,Backsplit 5,4,3,43.7083,-79.64191,house,,,"3117 Purnell Crt, Mississauga"
W3303280,Churchill Meadows,555000,2015-09-15,Semi-Detached,2-Storey,3,3,43.5454,-79.74307,house,,,"5456 Longford Dr, Mississauga"
W3304275,Malton,385000,2015-09-15,Detached,Bungalow,3,2,43.70311,-79.6461,house,,,"30 Harrow St, Mississauga"
W3304829,Erindale,600000,2015-09-15,Semi-Detached,Backsplit 4,3,4,43.56457,-79.65054,house,,,"3324 Grechen Rd, Mississauga"
W3304905,Lakeview,740000,2015-09-15,Detached,Bungalow,3,3,43.58223,-79.5657,house,,,"1265 Ogden Ave, Mississauga"
W3305179,City Centre,467000,2015-09-15,Condo Apt,Apartment,2,2,43.58778,-79.64585,condo,766.62,Uph03,"4090 Living Arts Dr, Mississauga"
W3308474,Malton,380000,2015-09-15,Semi-Detached,2-Storey,3,2,43.7066299,-79.64415,house,,,"3044 Merritt Ave, Mississauga"
W3305904,Meadowvale,730000,2015-09-15,Detached,2-Storey,3,4,43.58947,-79.77728,house,,,"7320 Corrine Cres, Mississauga"
W3309758,Meadowvale Village,1020000,2015-09-15,Detached,2-Storey,4,3,43.62171,-79.72378,house,,,"6804 Early Settler Row, Mississauga"
W3309723,Mineola,750000,2015-09-15,Detached,Bungalow-Raised,3,3,43.57025,-79.5749699,house,,,"511 Ettridge Crt, Mississauga"
W3309347,Hurontario,360000,2015-09-15,Condo Townhouse,2-Storey,3,3,43.59443,-79.66611,condo,283.12,49,"4620 Guildwood Way, Mississauga"
W3309294,Lisgar,713000,2015-09-15,Detached,2-Storey,4,3,43.57681,-79.7790799,house,,,"6895 Gracefield Dr, Mississauga"
W3310829,Lisgar,620000,2015-09-15,Detached,2-Storey,3,4,43.56758,-79.7564699,house,,,"6228 Prairie Circ, Mississauga"
W3311871,Churchill Meadows,649900,2015-09-15,Semi-Detached,2-Storey,3,3,43.55565462,-79.73484278,house,,,"5644 Ethan Dr, Mississauga"
W3311776,Churchill Meadows,675000,2015-09-15,Semi-Detached,2-Storey,4,3,43.557,-79.73041,house,,,"3069 Doyle St, Mississauga"
W3168823,Lorne Park,2240000,2015-09-14,Detached,2-Storey,4,6,43.5297701,-79.6169315,house,,,"1139 Garden Rd, Mississauga"
W3182713,Hurontario,299000,2015-09-14,Comm Element Condo,Apartment,2,2,43.5934486,-79.6691284,condo,964.28,1703,"700 Constellation Dr, Mississauga"
W3235499,City Centre,487500,2015-09-14,Condo Townhouse,2-Storey,2,3,43.586277,-79.6476974,condo,671.72,Th1,"4065 Brickstone Mews, Mississauga"
W3246085,Hurontario,489000,2015-09-14,Condo Apt,Multi-Level,3,3,43.6031609,-79.6511612,condo,1188.77,2105,"55 Kingsbridge Garden Circle, Mississauga"
W3246849,City Centre,470000,2015-09-14,Condo Apt,Apartment,3,2,43.5885201,-79.6315002,condo,645.6,3501,"3525 Kariya Dr, Mississauga"
W3256775,City Centre,210000,2015-09-14,Condo Apt,Bachelor/Studio,0,1,43.5900192,-79.6473618,condo,294.89,309,"365 Prince Of Wales Dr, Mississauga"
W3262597,Cooksville,525000,2015-09-14,Detached,Bungalow,2,2,43.5761108,-79.6161804,house,,,"100 King St, Mississauga"
W3267258,City Centre,240000,2015-09-14,Condo Apt,Apartment,1,1,43.5896187,-79.6302414,condo,409.85,2903,"3504 Hurontario St, Mississauga"
W3270558,Central Erin Mills,965000,2015-09-14,Detached,2-Storey,5,4,43.5635396,-79.7222458,house,,,"2678 Burnford Tr, Mississauga"
W3278054,Malton,472000,2015-09-14,Detached,Bungalow,3,2,43.72093,-79.63265,house,,,"3790 Woodruff Cres, Mississauga"
W3288497,Creditview,297000,2015-09-14,Condo Apt,Apartment,2,2,43.58921,-79.6511,condo,918,#1009,"330 Rathburn Rd, Mississauga"
W3292645,East Credit,865000,2015-09-14,Detached,2-Storey,5,4,43.59981,-79.68642,house,,,"5543 Heatherleigh Ave, Mississauga"
W3292775,Cooksville,388000,2015-09-14,Condo Townhouse,Stacked Townhse,2,2,43.57055,-79.62909,condo,223.4,3,"710 Neighbourhood Circle, Mississauga"
W3296005,Central Erin Mills,252000,2015-09-14,Condo Apt,Apartment,1,1,43.55363691,-79.71199231,condo,366.69,801,"4850 Glen Erin Dr, Mississauga"
W3294441,Meadowvale Village,505000,2015-09-14,Semi-Detached,2-Storey,3,3,43.62515,-79.73884,house,,,"7264 Frontier Rdge, Mississauga"
W3296265,Mississauga Valleys,360000,2015-09-14,Condo Townhouse,2-Storey,3,2,43.5931636,-79.6207738,condo,358.88,129,"3395 Cliff Rd, Mississauga"
W3297395,Lakeview,387000,2015-09-14,Condo Townhouse,3-Storey,2,3,43.57583,-79.57136,condo,348,20,"1241 Parkwest Pl, Mississauga"
W3298277,Meadowvale,581000,2015-09-14,Detached,2-Storey,3,2,43.61468,-79.70339,house,,,"6225 Mccracken Dr, Mississauga"
W3298587,East Credit,413000,2015-09-14,Condo Townhouse,3-Storey,3,3,43.58975,-79.67375,condo,219.58,29,"5030 Heatherleigh Ave, Mississauga"
W3299371,Erin Mills,559500,2015-09-14,Semi-Detached,2-Storey,3,2,43.54456,-79.6971,house,,,"4201 Pheasant Run , Mississauga"
W3301024,Meadowvale,350000,2015-09-14,Condo Townhouse,2-Storey,3,2,43.58526,-79.76308,condo,405.17,43,"6780 Formentera Ave, Mississauga"
W3300225,East Credit,518000,2015-09-14,Att/Row/Twnhouse,2-Storey,3,3,43.60259,-79.70919,house,,,"1281 Killaby Dr, Mississauga"
W3302781,Rathwood,860000,2015-09-14,Detached,Backsplit 5,4,4,43.62976,-79.6091,house,,,"1396 Bough Beeches Blvd, Mississauga"
W3304928,Churchill Meadows,670000,2015-09-14,Semi-Detached,2-Storey,4,3,43.5563104,-79.73697,house,,,"5574 Meadowcrest Ave, Mississauga"
W3306214,Applewood,580000,2015-09-14,Detached,Bungalow,3,3,43.63284,-79.5907299,house,,,"1890 Burnhamthorpe Rd, Mississauga"
W3305850,Meadowvale,617000,2015-09-14,Detached,2-Storey,3,3,43.57079,-79.75743,house,,,"3196 Chamberlain Crt, Mississauga"
W3305735,Creditview,650000,2015-09-14,Detached,2-Storey,3,4,43.5728,-79.66156,house,,,"1028 Lucerne Cres, Mississauga"
W3310065,Lisgar,652000,2015-09-14,Detached,2-Storey,4,4,43.56663,-79.75419,house,,,"6163 Prairie Circ, Mississauga"
W3305946,Clarkson,670000,2015-09-14,Detached,Bungalow-Raised,3,2,43.5195999,-79.63251,house,,,"1864 Hindhead Rd, Mississauga"
W3306793,Erin Mills,725000,2015-09-14,Detached,2-Storey,4,3,43.52826,-79.70345,house,,,"3274 Huxley Dr, Mississauga"
W3307385,Erin Mills,773000,2015-09-14,Detached,2-Storey,4,3,43.5330299,-79.69247,house,,,"2656 Spruce Needle Dr, Mississauga"
W3306864,Lakeview,787000,2015-09-14,Detached,1 1/2 Storey,3,3,43.59073,-79.58659,house,,,"856 Melton Dr, Mississauga"
W3309701,Meadowvale Village,455000,2015-09-14,Condo Townhouse,2-Storey,3,3,43.63488,-79.71586,condo,166,58,"525 Novo Star Dr, Mississauga"
W3309535,Erindale,470000,2015-09-14,Semi-Detached,Bungalow,3,2,43.56266,-79.66193,house,,,"3537 Queenston Dr, Mississauga"
W3308475,Meadowvale,460000,2015-09-14,Semi-Detached,2-Storey,3,2,43.59205,-79.78419,house,,,"7371 Jaysnest Rd, Mississauga"
W3308730,Rathwood,576000,2015-09-14,Semi-Detached,Bungalow-Raised,3,2,43.6048199,-79.62465,house,,,"4123 Dunmow Cres, Mississauga"
W3310268,Lisgar,720000,2015-09-14,Detached,2-Storey,5,4,43.56216,-79.75425,house,,,"5952 Grossbeak Dr, Mississauga"
W3309263,Lakeview,849000,2015-09-14,Detached,2-Storey,4,4,43.60414,-79.5657,house,,,"1595 Sunnycove Dr, Mississauga"
W3310146,Churchill Meadows,1075000,2015-09-14,Detached,2-Storey,4,5,43.54548,-79.73423,house,,,"3414 Trilogy Tr, Mississauga"
W3309151,Erin Mills,1455000,2015-09-14,Detached,2-Storey,4,5,43.55978,-79.68326,house,,,"4185 Mississauga Rd, Mississauga"
W3310512,Churchill Meadows,581000,2015-09-14,Semi-Detached,2-Storey,3,3,43.56059,-79.74993,house,,,"5926 Terranova Dr, Mississauga"
W3311131,East Credit,600000,2015-09-14,Semi-Detached,2-Storey,4,4,43.60004,-79.7055,house,,,"1293 Prestonwood Cres, Mississauga"
W3311624,Mineola,2195000,2015-09-14,Detached,2-Storey,4,5,43.55506,-79.59739,house,,,"298 Mineola Rd, Mississauga"
W3258993,Lisgar,635000,2015-09-13,Detached,2-Storey,4,4,43.5726459,-79.7672649,house,,,"6546 Snow Goose Lane, Mississauga"
W3266676,Central Erin Mills,1571000,2015-09-13,Detached,2-Storey,4,5,43.56641,-79.71236,house,,,"5302 Hilton Crt, Mississauga"
W3268699,Central Erin Mills,1675000,2015-09-13,Detached,2-Storey,5,5,43.56601,-79.71052,house,,,"5259 Hilton Crt, Mississauga"
W3280875,Dixie,39000,2015-09-13,Mobile/Trailer,Bungalow,3,1,43.6173839,-79.5753154,house,,,"1749 Dundas St, Mississauga"
W3278771,Erin Mills,406000,2015-09-13,Condo Townhouse,2-Storey,2,3,43.53843,-79.67056,condo,281,16,"3125 Fifth Line, Mississauga"
W3279560,Clarkson,344000,2015-09-13,Condo Apt,Apartment,1,2,43.5127,-79.63103,condo,445.63,#1211,"1055 Southdown Rd, Mississauga"
W3282329,Mineola,544000,2015-09-13,Condo Townhouse,2-Storey,3,3,43.57079,-79.59538,condo,435,45,"150 South Service Rd, Mississauga"
W3288234,Meadowvale,240000,2015-09-13,Condo Townhouse,Bungalow,3,2,43.58031,-79.75599,condo,362.03,8F,"2866 Battleford Rd, Mississauga"
W3289626,Cooksville,655000,2015-09-13,Detached,2-Storey,3,4,43.5656,-79.61932,house,,,"424 Pinemeadow Ave, Mississauga"
W3290792,East Credit,520000,2015-09-13,Semi-Detached,2-Storey,3,3,43.59876,-79.68393,house,,,"5279 Hollypoint Ave, Mississauga"
